Solution, Implementation Cost ($), Opportunity Cost ($), Particulate Nitrogen (t/yr), Sediment Production (t/yr), Total Nitrogen, Dissolved Nitrogen (t/yr)
533-of-13898,117825077,7719417.75,206,106491,339,133
534-of-13898,312794170,33805754.71,196,102727,291,95
535-of-13898,67107037,5077598.25,207,109206,356,149
536-of-13898,61440167,4653941.56,208,109323,361,153
537-of-13898,108303397,11343951.13,205,108101,329,124
538-of-13898,113883907,11713876.42,213,110936,332,119
539-of-13898,75706435,7368122.76,209,109114,345,136
540-of-13898,165685259,12272423.6,205,110636,318,113
541-of-13898,111562687,8315441.29,202,107386,332,129
542-of-13898,302660410,27872509.36,194,103331,293,99
543-of-13898,301850618,27727837.28,194,103336,293,99
544-of-13898,255086015,20507674.84,206,109364,307,101
545-of-13898,128169663,8436346.4,207,106485,339,132
546-of-13898,275072371,26162057.51,203,110251,301,98
547-of-13898,273214002,25724341.92,203,110262,301,98
548-of-13898,119408501,9090123.72,207,107325,334,127
549-of-13898,87515678,6047855.01,207,110973,340,134
550-of-13898,169629057,15068970.1,205,110442,315,110
551-of-13898,169455787,15052533.02,205,110471,315,110
552-of-13898,127725483,10129959.57,205,109692,326,121
553-of-13898,87169264,6018013.22,207,111124,340,133
554-of-13898,86906076,5980652.65,207,111200,341,134
555-of-13898,86295233,5765498.11,207,111209,341,134
556-of-13898,202966620,17580543.03,197,103466,312,115
557-of-13898,170000992,15510731.2,201,104924,321,120
558-of-13898,251875102,21402240.41,202,109520,303,101
559-of-13898,301352788,27379329.04,198,103626,297,99
560-of-13898,298997498,27265769.12,198,103640,297,99
561-of-13898,404655595,37573647.75,188,97114,276,88
562-of-13898,194298190,15988303.69,199,104297,314,115
563-of-13898,170242886,13243725.17,201,105302,321,119
564-of-13898,190000859,16570405.54,198,105233,314,116
565-of-13898,189720267,16548179.4,198,105621,314,116
566-of-13898,300467853,24307346.56,198,106760,296,98
567-of-13898,296960883,23894468.34,200,107159,299,99
568-of-13898,165751565,14425393.12,199,106990,318,119
569-of-13898,163190167,14179861.89,200,107170,319,119
570-of-13898,148645763,14458477.06,200,107473,321,121
571-of-13898,145836710,12857535.23,201,107823,322,122
572-of-13898,299087056,31435401,196,103099,294,98
573-of-13898,293911165,30984924.41,196,103121,294,98
574-of-13898,286425337,30847229.33,196,103158,295,99
575-of-13898,177403256,13284753.83,202,107407,319,118
576-of-13898,57496555,5415707.1,208,110412,358,150
577-of-13898,213850612,21493449.65,199,106171,305,106
578-of-13898,214273986,20374197.9,200,106285,308,108
579-of-13898,132383067,10576196.07,202,107952,325,123
580-of-13898,404780914,38292526.88,186,95735,274,88
581-of-13898,87462028,6009635.53,207,111139,341,133
582-of-13898,54935071,3882645.46,211,109876,356,145
583-of-13898,232475546,21290500.44,203,110702,305,102
584-of-13898,104869348,7552436.31,209,107994,339,131
585-of-13898,104717029,7531969.31,209,107995,340,131
586-of-13898,270096606,24357976.76,193,100408,301,108
587-of-13898,83723717,5635900.57,208,111264,343,135
588-of-13898,83691343,5635807.43,208,111268,343,135
589-of-13898,83330638,5573593.76,208,111268,344,136
590-of-13898,340107393,29266282.65,200,102837,294,94
591-of-13898,330599101,27845207.6,200,102872,295,96
592-of-13898,310242999,26204424.44,200,102992,298,98
593-of-13898,247889596,23449300.11,198,103705,302,104
594-of-13898,113657446,8636476.73,204,109715,330,126
595-of-13898,171228103,14231392.96,203,107688,319,116
596-of-13898,278270335,26293090.28,198,107476,296,98
597-of-13898,217336615,18655126.06,204,111032,306,103
598-of-13898,120763346,9923733.05,206,107237,332,125
599-of-13898,118980231,11027427.53,212,110560,329,117
600-of-13898,117560170,10856157.16,213,110784,332,119
601-of-13898,161817099,17994465.51,202,106273,319,117
602-of-13898,285267941,25525810.84,200,104170,299,100
603-of-13898,162288186,16164533.87,199,105416,320,121
604-of-13898,145034007,9628795.05,205,108214,328,123
605-of-13898,231405255,23471601.15,203,107310,305,102
606-of-13898,230419380,23256446.61,203,107349,306,102
607-of-13898,161145239,14523200.82,205,108481,318,113
608-of-13898,160749306,14487868.8,205,108485,318,113
609-of-13898,239208499,22971872.51,198,104167,304,106
610-of-13898,66808140,5165961.91,207,109230,356,148
611-of-13898,250547649,21772829.55,204,110510,303,100
612-of-13898,161795220,15476845.05,205,106081,321,116
613-of-13898,166897871,17488168.18,202,107287,317,114
614-of-13898,111823962,8190462.12,206,107316,338,132
615-of-13898,383793955,34816857.08,185,95286,274,90
616-of-13898,206275433,18003338.45,198,105132,313,115
617-of-13898,221949998,16712496.98,200,107717,310,110
618-of-13898,221701871,16697267.75,200,107721,310,111
619-of-13898,80776424,6620539.38,209,109996,344,135
620-of-13898,124320598,11215510.04,203,108755,325,122
621-of-13898,123261694,11204324.77,203,108803,325,122
622-of-13898,143921158,12026044.95,205,111359,318,114
623-of-13898,309551024,32752488.95,196,102715,292,96
624-of-13898,157430280,11951794.11,205,110698,318,113
625-of-13898,81719520,10656163.98,208,107512,348,141
626-of-13898,278422156,25890644.14,193,99972,299,106
627-of-13898,98398254,6922509.75,205,108312,342,137
628-of-13898,97885151,6846830.56,206,108365,343,138
629-of-13898,132558125,8719614.18,206,106318,337,130
630-of-13898,130572300,8600272.29,206,106365,337,131
631-of-13898,126728486,8510982.17,206,106547,338,132
632-of-13898,123862151,8285294.1,206,106593,339,132
633-of-13898,171945217,14070054.45,205,110080,315,110
634-of-13898,138705637,12206264.84,202,108512,323,121
635-of-13898,286580203,26080122.46,203,107041,299,97
636-of-13898,356903880,35837803.34,189,98503,281,92
637-of-13898,285899833,31452591.35,199,105380,295,96
638-of-13898,275723855,30079823.17,202,107490,300,97
639-of-13898,270382541,29230396.17,202,107591,300,98
640-of-13898,196198131,18216404.05,202,105899,311,109
641-of-13898,126913792,10059736.52,205,109693,326,121
642-of-13898,337961533,27488096.92,199,107242,294,95
643-of-13898,218940686,21807031.57,199,102446,314,116
644-of-13898,337010373,30948513.58,193,101024,286,93
645-of-13898,331454229,30419347.33,195,102525,289,94
646-of-13898,276275008,26577254.12,199,104852,299,100
647-of-13898,114400446,13100256.48,201,107254,329,127
648-of-13898,249655245,21890104.76,207,109798,308,100
649-of-13898,195734327,14483361.34,199,105013,318,119
650-of-13898,193198424,14397614.73,200,105647,320,120
651-of-13898,193091270,14397614.73,200,105693,320,120
652-of-13898,198406266,15242723.32,203,105284,317,115
653-of-13898,194329136,18224598.75,197,105138,312,114
654-of-13898,191570886,17980533.96,198,105251,313,115
655-of-13898,291569373,25136280.84,199,107250,297,98
656-of-13898,275125144,26117534.71,199,103529,299,101
657-of-13898,297674248,27266595.98,195,103442,295,100
658-of-13898,293343614,27029555.02,195,103527,295,100
659-of-13898,98270369,6477610.03,206,110859,337,131
660-of-13898,97623029,6364762.84,206,110874,337,131
661-of-13898,97060867,6251270.65,206,110895,338,132
662-of-13898,187743986,13140598.34,201,107214,315,114
663-of-13898,184086375,12862775.25,201,107229,315,114
664-of-13898,183754772,12843049.32,202,107623,316,114
665-of-13898,179249345,12605454.79,203,108419,320,116
666-of-13898,220025423,22512951.71,199,104750,304,106
667-of-13898,220013681,22509358.18,199,104750,304,106
668-of-13898,246918533,20323762.86,200,107371,303,103
669-of-13898,238795623,19619195.32,200,107673,304,104
670-of-13898,288994495,25122483.58,203,106893,299,97
671-of-13898,285969216,23912854.64,203,107217,300,97
672-of-13898,165073086,12556896.43,201,107464,322,121
673-of-13898,147040147,14299535.99,200,107660,320,119
674-of-13898,320061974,31697953.23,187,96105,286,99
675-of-13898,274060386,24637576.36,193,100590,296,104
676-of-13898,266279086,24176750.71,193,100902,298,105
677-of-13898,110663571,10563722.6,203,108051,328,126
678-of-13898,167003922,12595547.52,204,111158,316,112
679-of-13898,166793924,12593826.69,204,111219,317,112
680-of-13898,101643733,8389700.23,206,107024,344,139
681-of-13898,313423880,27065131.46,206,106992,302,96
682-of-13898,322650680,27661993.32,206,106702,301,95
683-of-13898,109376988,8233818.11,204,107555,344,140
684-of-13898,169096769,12984477.7,206,107401,322,116
685-of-13898,299996638,30935475.12,197,103297,294,97
686-of-13898,99842905,10279527.65,203,107370,342,138
687-of-13898,267220493,24282046.62,205,107677,304,99
688-of-13898,267106027,24276982.42,205,107679,304,99
689-of-13898,259632461,23891190.04,205,107719,305,99
690-of-13898,259472195,23628791.39,205,107719,305,99
691-of-13898,296034450,27110993.03,195,103447,295,100
692-of-13898,63093913,5062179.01,208,109955,356,148
693-of-13898,182103544,14500103.04,202,107239,318,116
694-of-13898,63306863,4505331.61,208,109422,358,150
695-of-13898,237195183,25548302.69,201,106509,303,102
696-of-13898,235752374,23127854.98,200,107989,302,102
697-of-13898,145221247,13493009.11,199,106203,325,126
698-of-13898,169837516,16479481.11,202,107871,313,111
699-of-13898,91634566,6971676.52,207,111046,338,131
700-of-13898,91619420,6971676.52,207,111051,338,131
701-of-13898,155300744,12778371.53,202,108649,320,118
702-of-13898,203190979,20664996.25,198,102884,319,121
703-of-13898,276306355,21555687.64,201,109332,301,100
704-of-13898,303688452,28416860.79,193,101143,291,98
705-of-13898,153499420,16077452.24,204,105150,324,120
706-of-13898,314535316,27314980.06,200,105428,296,96
707-of-13898,89297984,6064009.73,207,111054,341,134
708-of-13898,89183518,6058945.53,207,111056,341,134
709-of-13898,155060121,13219110.98,203,109920,316,113
710-of-13898,291290792,25136280.84,199,107267,297,98
711-of-13898,221071293,19549484.64,200,108387,305,105
712-of-13898,54517502,4117057.03,209,110881,362,153
713-of-13898,53490127,4044147.94,209,110959,363,154
714-of-13898,301249687,28367524.22,196,102817,294,99
715-of-13898,132460417,12784028.75,212,110675,326,115
716-of-13898,111813318,9305945.67,208,110604,330,122
717-of-13898,133440526,8895272.3,204,108857,329,125
718-of-13898,115521027,7785671.03,204,109339,332,128
719-of-13898,80680061,5477995.86,208,111337,345,138
720-of-13898,195020747,14557085.07,207,108694,315,108
721-of-13898,211100786,20835093.98,198,102473,314,116
722-of-13898,210376687,20639818.61,198,102473,315,117
723-of-13898,134085362,8884113.67,206,106276,336,130
724-of-13898,134079313,8883899.33,206,106277,336,130
725-of-13898,133258504,8753877.63,206,106286,338,131
726-of-13898,131335062,8490608.14,206,106310,338,132
727-of-13898,116462319,7336185.06,207,106798,340,133
728-of-13898,207463856,19461021.28,200,104893,309,108
729-of-13898,157841648,14600630.57,202,105692,321,119
730-of-13898,124339687,8823610.03,203,107141,340,136
731-of-13898,166311915,14628191.64,199,106975,318,119
732-of-13898,190266542,18932775.71,201,108726,310,109
733-of-13898,189559223,18925515.08,201,108743,310,109
734-of-13898,118922315,8255430.09,204,107231,344,140
735-of-13898,64584221,6322845.97,209,109328,348,139
736-of-13898,64517028,6313040.43,209,109330,348,139
737-of-13898,291541450,29091195.42,196,102703,294,99
738-of-13898,66840957,5060159.63,207,109215,356,149
739-of-13898,254338417,25469875.44,195,102228,297,102
740-of-13898,179505902,16589389.84,199,104766,316,117
741-of-13898,176344007,16474965.41,199,104846,317,118
742-of-13898,148410854,13221602.02,202,105325,326,124
743-of-13898,148392295,13221158.99,202,105326,326,124
744-of-13898,205159787,16358109.48,199,105939,312,113
745-of-13898,170584077,16991768.36,204,104876,322,119
746-of-13898,91949363,6983121.2,205,108167,343,138
747-of-13898,141617958,10541554.14,203,109435,324,120
748-of-13898,179446016,13161574.61,200,105778,320,120
749-of-13898,230841575,17664211.76,198,104258,312,115
750-of-13898,125469946,10786156.59,209,109371,329,120
751-of-13898,200790395,16187528.84,199,104415,314,115
752-of-13898,196478797,15729906.24,199,104510,315,116
753-of-13898,200801569,18726668.7,198,103699,309,111
754-of-13898,169928587,16451704.1,201,104754,320,119
755-of-13898,173838207,15203040.55,202,105676,319,117
756-of-13898,252971850,24884874.62,198,105170,300,102
757-of-13898,253210716,20338626.2,206,109455,307,101
758-of-13898,243318325,20085055.92,206,109606,307,102
759-of-13898,124734940,9741157.62,210,109870,330,120
760-of-13898,113422419,9158755.22,211,110629,333,122
761-of-13898,267280814,28010581.94,202,106701,300,98
762-of-13898,160168526,15846183.67,200,107434,318,118
763-of-13898,153576674,15808340.29,201,106645,321,121
764-of-13898,154674945,13990178.63,202,107162,322,121
765-of-13898,84034507,5843560.63,207,111257,341,134
766-of-13898,83472345,5730068.44,208,111278,342,134
767-of-13898,82679559,5685997.96,208,111340,343,135
768-of-13898,82068716,5470843.42,208,111349,343,135
769-of-13898,242817788,23462905.95,202,109811,303,101
770-of-13898,148678743,15649328.38,203,107083,320,117
771-of-13898,151586297,13404440.42,205,108779,321,115
772-of-13898,88319186,6478525.62,209,110732,341,131
773-of-13898,322669413,26597096.26,199,107172,296,96
774-of-13898,107529511,8498223.86,208,109246,333,125
775-of-13898,106883505,8407670.22,208,109290,333,125
776-of-13898,162151628,11700203.28,203,104701,330,126
777-of-13898,158227892,11321668.87,205,105176,332,127
778-of-13898,153025205,10871192.28,205,105203,332,127
779-of-13898,234445181,23243485.7,198,105300,301,103
780-of-13898,229619743,22945535.94,198,105325,301,103
781-of-13898,228494908,22788102.69,198,105371,302,104
782-of-13898,126813623,9814322.12,207,108286,331,124
783-of-13898,120364274,8912726.24,207,108596,332,125
784-of-13898,120246533,8912726.24,207,108600,332,125
785-of-13898,292999573,32209194.15,196,105285,293,97
786-of-13898,164743059,13610911.81,202,106087,323,121
787-of-13898,162820460,13164877.78,202,106093,323,121
788-of-13898,239508903,20230839.55,202,109550,304,102
789-of-13898,188737388,15530944.63,201,106410,316,115
790-of-13898,322508810,27661993.32,206,106731,301,95
791-of-13898,133306134,12840711.48,203,108504,324,122
792-of-13898,248984801,19140642.37,203,106936,309,105
793-of-13898,178750164,15422047.92,200,106634,316,116
794-of-13898,150099544,12290309.16,200,107712,323,122
795-of-13898,131415937,13528767.15,212,110717,327,115
796-of-13898,117305170,9673620.4,211,110513,332,121
797-of-13898,177111246,13754467.67,205,111135,314,109
798-of-13898,172884214,13445696,205,111341,315,110
799-of-13898,276950795,23159406.46,200,107965,301,100
800-of-13898,155326065,13511772.02,204,106160,322,118
801-of-13898,118846910,9908776.83,202,106802,331,128
802-of-13898,74759803,5553883.67,206,109752,346,140
803-of-13898,128251487,9796915.28,210,109878,330,120
804-of-13898,295761574,30238845.06,188,96563,292,104
805-of-13898,290137779,29992761.21,192,97440,300,109
806-of-13898,69077805,5366898.61,207,109389,354,147
807-of-13898,124667363,10841293.32,202,105613,329,128
808-of-13898,122522734,10767469.51,202,105645,329,128
809-of-13898,119611360,10565955.07,202,105755,331,129
810-of-13898,54675997,4214723.8,212,109577,358,147
811-of-13898,82580415,5940102.98,207,111361,341,134
812-of-13898,248941561,21538917.2,207,109798,308,100
813-of-13898,248921633,21534839.61,207,109801,308,100
814-of-13898,158170375,11286829.44,201,106633,326,126
815-of-13898,149585083,10432223.46,201,106697,329,128
816-of-13898,114680693,9107013.99,209,110438,332,122
817-of-13898,107106537,8416914.88,210,110821,334,124
818-of-13898,70448461,5714167.02,208,107547,351,143
819-of-13898,98084437,7887423.68,205,109748,333,128
820-of-13898,270191398,22903908.72,200,107999,301,101
821-of-13898,187312054,15897278.55,200,106414,317,116
822-of-13898,172524621,14763966.34,201,106739,319,118
823-of-13898,172452813,14763966.34,201,106742,319,118
824-of-13898,133677813,9365908.38,206,106984,334,128
825-of-13898,118853742,8096448.91,208,107936,338,130
826-of-13898,169191196,16540925.4,204,110482,314,110
827-of-13898,79801354,5388820.65,208,111351,347,139
828-of-13898,159709133,11691443.13,205,110644,318,113
